state,solar_potential_twh
California,236
Texas,160
Florida,126
New York,67
Ohio,65
Illinois,64
Pennsylvania,61
North Carolina,55
Virginia,44
New Jersey,37
Massachusetts,32
Arizona,32
Colorado,29
Maryland,29
Connecticut,18
Nevada,17
Maine,9
Hawaii,0
Michigan,58
Georgia,54
Minnesota,32
Washington,30
Oregon,20
Missouri,43
Indiana,38
Wisconsin,34
Alabama,32
South Carolina,24
New Hampshire,7
Rhode Island,5
Tennessee,38
Oklahoma,32
Louisiana,31
Kentucky,26
Iowa,20
Kansas,20
Arkansas,19
Mississippi,19
Utah,13
Nebraska,13
New Mexico,12
West Virginia,9
Idaho,8
South Dakota,6
Montana,5
North Dakota,5
Vermont,4
Delaware,4
Wyoming,3
Alaska,0