state,num_applications,num_finaled,pct_cancelled,year
Alabama,8,8,0.0000,2022_2023
Arizona,9428,7904,0.1616,2022_2023
Arkansas,527,438,0.1689,2022_2023
California,175218,139010,0.2066,2022_2023
Colorado,13093,11183,0.1459,2022_2023
Connecticut,4520,3704,0.1805,2022_2023
Florida,39310,30889,0.2142,2022_2023
Georgia,1300,893,0.3131,2022_2023
Hawaii,6938,6335,0.0869,2022_2023
Idaho,1469,1158,0.2117,2022_2023
Illinois,2352,1972,0.1616,2022_2023
Indiana,288,243,0.1563,2022_2023
Iowa,527,383,0.2732,2022_2023
Kansas,476,388,0.1849,2022_2023
Kentucky,1280,1035,0.1914,2022_2023
Louisiana,11,9,0.1818,2022_2023
Maine,75,44,0.4133,2022_2023
Maryland,4863,4236,0.1289,2022_2023
Massachusetts,4034,2590,0.3580,2022_2023
Michigan,314,299,0.0478,2022_2023
Minnesota,1086,853,0.2145,2022_2023
Missouri,1673,1388,0.1704,2022_2023
Montana,369,352,0.0461,2022_2023
Nebraska,,,,2022_2023
Nevada,10901,8785,0.1941,2022_2023
New Hampshire,367,292,0.2044,2022_2023
New Jersey,1651,1433,0.1320,2022_2023
New Mexico,5212,5146,0.0127,2022_2023
New York,1776,1513,0.1481,2022_2023
North Carolina,3642,3013,0.1727,2022_2023
North Dakota,5,3,0.4000,2022_2023
Ohio,876,672,0.2329,2022_2023
Oklahoma,2736,2084,0.2383,2022_2023
Oregon,2918,2634,0.0973,2022_2023
Pennsylvania,2102,1840,0.1246,2022_2023
Rhode Island,596,506,0.1510,2022_2023
South Carolina,738,581,0.2127,2022_2023
Tennessee,44,39,0.1136,2022_2023
Texas,20953,15666,0.2523,2022_2023
Utah,1078,1009,0.0640,2022_2023
Vermont,,,,2022_2023
Virginia,9739,8575,0.1195,2022_2023
Washington,3035,2787,0.0817,2022_2023
Wisconsin,743,624,0.1602,2022_2023
Wyoming,141,115,0.1844,2022_2023
South Dakota,12,11,0.0833,2022_2023
Alabama,6,6,0.0000,2023_2024
Arizona,6777,5197,0.2331,2023_2024
Arkansas,436,374,0.1422,2023_2024
California,80393,57477,0.2850,2023_2024
Colorado,8055,6367,0.2096,2023_2024
Connecticut,3377,2459,0.2718,2023_2024
Florida,29717,24002,0.1923,2023_2024
Georgia,803,590,0.2653,2023_2024
Hawaii,6258,5035,0.1954,2023_2024
Idaho,812,648,0.2020,2023_2024
Illinois,2028,1548,0.2367,2023_2024
Indiana,353,299,0.1530,2023_2024
Iowa,276,192,0.3043,2023_2024
Kansas,488,358,0.2664,2023_2024
Kentucky,765,574,0.2497,2023_2024
Louisiana,1004,642,0.3606,2023_2024
Maine,142,97,0.3169,2023_2024
Maryland,4387,3515,0.1988,2023_2024
Massachusetts,3680,2472,0.3283,2023_2024
Michigan,331,217,0.3444,2023_2024
Minnesota,809,695,0.1409,2023_2024
Missouri,1259,1004,0.2025,2023_2024
Montana,679,617,0.0913,2023_2024
Nebraska,14,12,0.1429,2023_2024
Nevada,11372,9211,0.1900,2023_2024
New Hampshire,382,309,0.1911,2023_2024
New Jersey,1408,1152,0.1818,2023_2024
New Mexico,3255,2767,0.1499,2023_2024
New York,1372,1109,0.1917,2023_2024
North Carolina,2609,1995,0.2353,2023_2024
North Dakota,5,5,0.0000,2023_2024
Ohio,722,529,0.2673,2023_2024
Oklahoma,2539,1768,0.3037,2023_2024
Oregon,2399,2099,0.1251,2023_2024
Pennsylvania,2203,1930,0.1239,2023_2024
Rhode Island,388,298,0.2320,2023_2024
South Carolina,486,340,0.3004,2023_2024
Tennessee,7,6,0.1429,2023_2024
Texas,10675,8263,0.2259,2023_2024
Utah,637,599,0.0597,2023_2024
Vermont,24,17,0.2917,2023_2024
Virginia,7589,6202,0.1828,2023_2024
Washington,2136,1824,0.1461,2023_2024
Wisconsin,823,663,0.1944,2023_2024
Wyoming,241,180,0.2531,2023_2024
South Dakota,,,,2023_2024
Alabama,14,14,0.0000,2022_2024
Arizona,16205,13101,0.1915,2022_2024
Arkansas,963,812,0.1568,2022_2024
California,255611,196487,0.2313,2022_2024
Colorado,21148,17550,0.1701,2022_2024
Connecticut,7897,6163,0.2196,2022_2024
Florida,69027,54891,0.2048,2022_2024
Georgia,2103,1483,0.2948,2022_2024
Hawaii,13196,11370,0.1384,2022_2024
Idaho,2281,1806,0.2082,2022_2024
Illinois,4380,3520,0.1963,2022_2024
Indiana,641,542,0.1544,2022_2024
Iowa,803,575,0.2839,2022_2024
Kansas,964,746,0.2261,2022_2024
Kentucky,2045,1609,0.2132,2022_2024
Louisiana,1015,651,0.3586,2022_2024
Maine,217,141,0.3502,2022_2024
Maryland,9250,7751,0.1621,2022_2024
Massachusetts,7714,5062,0.3438,2022_2024
Michigan,645,516,0.2000,2022_2024
Minnesota,1895,1548,0.1831,2022_2024
Missouri,2932,2392,0.1842,2022_2024
Montana,1048,969,0.0754,2022_2024
Nebraska,14,12,0.1429,2022_2024
Nevada,22273,17996,0.1920,2022_2024
New Hampshire,749,601,0.1976,2022_2024
New Jersey,3059,2585,0.1550,2022_2024
New Mexico,8467,7913,0.0654,2022_2024
New York,3148,2622,0.1671,2022_2024
North Carolina,6251,5008,0.1988,2022_2024
North Dakota,10,8,0.2000,2022_2024
Ohio,1598,1201,0.2484,2022_2024
Oklahoma,5275,3852,0.2698,2022_2024
Oregon,5317,4733,0.1098,2022_2024
Pennsylvania,4305,3770,0.1243,2022_2024
Rhode Island,984,804,0.1829,2022_2024
South Carolina,1224,921,0.2475,2022_2024
Tennessee,51,45,0.1176,2022_2024
Texas,31628,23929,0.2434,2022_2024
Utah,1715,1608,0.0624,2022_2024
Vermont,24,17,0.2917,2022_2024
Virginia,17328,14777,0.1472,2022_2024
Washington,5171,4611,0.1083,2022_2024
Wisconsin,1566,1287,0.1782,2022_2024
Wyoming,382,295,0.2277,2022_2024
South Dakota,12,11,0.0833,2022_2024