state,median_inspection_timeline,population
Alabama,,5054622
Alaska,,899989
Arizona,11,7164793
Arkansas,8,3038802
California,12.5,40228764
Colorado,15,6560770
Connecticut,21,3686051
Delaware,8.5,994398
Florida,13,22584658
Georgia,6,11351286
Hawaii,,1106033
Idaho,6,1861292
Illinois,10,15418649
Indiana,,7769317
Iowa,,3206392
Kansas,,2948250
Kentucky,,5591176
Louisiana,,6811195
Maine,,1353339
Maryland,10,6131940
Massachusetts,12,6984205
Michigan,,11795644
Minnesota,,5687870
Mississippi,,2981632
Missouri,24.5,6188585
Montana,,1134622
Nebraska,,1969981
Nevada,12,3102445
New Hampshire,8.25,1379323
New Jersey,19,9235382
New Mexico,15.75,2255869
New York,9,46303313
North Carolina,19,10478312
North Dakota,,780658
Ohio,10.5,12954123
Oklahoma,,3979215
Oregon,15.75,4235382
Pennsylvania,9,17326349
Puerto Rico,,5187244
Rhode Island,15,1094250
South Carolina,15,5138020
South Dakota,,899113
Tennessee,,7660211
Texas,9,29274710
Utah,15,3280768
Vermont,5,681501
Virginia,13,8504796
Washington,,7697082
District of Columbia,11.5,1341174
West Virginia,,1807770
Wisconsin,29,6965644
Wyoming,,578771