utility_name,utility_number,state,customers,solar_interconnection_fee,accurate_as_of,source,notes
Chugach Electric Assn Inc,3522,AK,97048,,,,
Matanuska Electric Assn Inc,11824,AK,64205,,,,
Alabama Power Co,195,AL,1332911,,,,
City of Huntsville - (AL),9094,AL,197537,,,,
Entergy Arkansas LLC,814,AR,608362,,,,
Southwestern Electric Power Co,17698,AR,108102,,,,
Arizona Public Service Co,803,AZ,1256120,,,,
Salt River Project,16572,AZ,1053407,,,,
Tucson Electric Power Co,24211,AZ,412747,,,,
Pacific Gas & Electric Co.,14328,CA,5047461,,,,
Southern California Edison Co,17609,CA,4594415,,,,
Los Angeles Department of Water & Power,11208,CA,1410191,,,,
San Diego Gas & Electric Co,16609,CA,1364361,,,,
San Diego Community Power,64289,CA,852720,,,,
Clean Power Alliance of Southern Califor,61526,CA,753633,,,,
Sacramento Municipal Util Dist,16534,CA,592557,,,,
Ava Community Energy,61475,CA,581804,,,,
Marin Clean Energy,56692,CA,524852,,,,
Central Coast Community Energy,61432,CA,383835,,,,
CleanPowerSF,60181,CA,353982,,,,
Public Service Co of Colorado,15466,CO,1365053,,,,
City of Colorado Springs - (CO),3989,CO,216771,,,,
Connecticut Light & Power Co,4176,CT,1174420,,,,
United Illuminating Co,19497,CT,312291,,,,
Potomac Electric Power Co,15270,DC,318780,,,,
"CleanChoice Energy, Inc.",58951,DC,6940,,,,
Delmarva Power,5027,DE,301950,,,,
Delaware Electric Cooperative,5070,DE,104839,,,,
Florida Power & Light Co,6452,FL,5236277,,,,
"Duke Energy Florida, LLC",6455,FL,1793067,,,,
Tampa Electric Co,18454,FL,757280,,,,
JEA,9617,FL,470564,,,,
Georgia Power Co,7140,GA,2452488,,,,
Jackson Electric Member Corp - (GA),9601,GA,239558,,,,
Hawaiian Electric Co Inc,19547,HI,276206,,,,
Hawaii Electric Light Co Inc,8287,HI,78386,,,,
MidAmerican Energy Co,12341,IA,632436,,,,
Interstate Power and Light Co,9417,IA,417153,,,,
Idaho Power Co,9191,ID,525751,,,,
Avista Corp,20169,ID,128226,,,,
Commonwealth Edison Co,4110,IL,3727675,,,,
Ameren Illinois Company,56697,IL,1060894,,,,
"Duke Energy Indiana, LLC",15470,IN,796265,,,,
AES Indiana,9273,IN,469499,,,,
Northern Indiana Pub Serv Co,13756,IN,430648,,,,
Indiana Michigan Power Co,9324,IN,422062,,,,
"Evergy Kansas Central, Inc",22500,KS,341806,,,,
"Evergy Kansas South, Inc",10005,KS,302508,,,,
Kentucky Utilities Co,10171,KY,450673,,,,
Louisville Gas & Electric Co,11249,KY,384902,,,,
Entergy Louisiana LLC,11241,LA,957522,,,,
Cleco Power LLC,3265,LA,251927,,,,
NSTAR Electric Company,54913,MA,1303076,,,,
Massachusetts Electric Co,11804,MA,1210113,,,,
Direct Energy Services,54820,MA,498718,,,,
Baltimore Gas & Electric Co,1167,MD,1214100,,,,
Potomac Electric Power Co,15270,MD,553607,,,,
Central Maine Power Co,3266,ME,577955,,,,
Versant Power,1179,ME,137906,,,,
DTE Electric Company,5109,MI,2067779,,,,
Consumers Energy Co - (MI),4254,MI,1657843,,,,
Northern States Power Co - Minnesota,13781,MN,1230057,,,,
Connexus Energy,689,MN,134095,,,,
Union Electric Co - (MO),19436,MO,1095619,,,,
Evergy Missouri West,12698,MO,305583,,,,
Entergy Mississippi LLC,12685,MS,384611,,,,
Mississippi Power Co,12686,MS,157437,,,,
NorthWestern Energy LLC - (MT),12825,MT,328127,,,,
Flathead Electric Coop Inc,6395,MT,63317,,,,
"Duke Energy Carolinas, LLC",5416,NC,1919372,,,,
Duke Energy Progress - (NC),3046,NC,1356079,,,,
Northern States Power Co - Minnesota,13781,ND,82987,,,,
Montana-Dakota Utilities Co,12199,ND,79354,,,,
Omaha Public Power District,14127,NE,362918,,,,
Lincoln Electric System,11018,NE,134912,,,,
Public Service Co of NH,15472,NH,459907,,,,
Community Power Coalition of NH,65649,NH,104562,,,,
Public Service Elec & Gas Co,15477,NJ,2056231,,,,
Jersey Central Power & Lt Co,9726,NJ,1038258,,,,
Atlantic City Electric Co,963,NJ,506488,,,,
Public Service Co of NM,15473,NM,492945,,,,
Southwestern Public Service Co,17718,NM,100540,,,,
Nevada Power Co,13407,NV,916385,,,,
Sierra Pacific Power Co,17166,NV,330891,,,,
Consolidated Edison Co-NY Inc,4226,NY,3064038,,,,
Niagara Mohawk Power Corp.,13573,NY,1532294,,,,
Long Island Power Authority,11171,NY,1029955,,,,
New York State Elec & Gas Corp,13511,NY,792300,,,,
Rochester Gas & Electric Corp,16183,NY,351481,,,,
Ohio Power Co,14006,OH,1339232,,,,
Ohio Edison Co,13998,OH,957780,,,,
Energy Harbor Corp.,6458,OH,902100,,,,
Duke Energy Ohio Inc,3542,OH,693435,,,,
Cleveland Electric Illum Co,3755,OH,676098,,,,
Dayton Power & Light Co,4922,OH,478741,,,,
AEP Energy,55722,OH,446968,,,,
"Dynegy Energy Services, LLC",59385,OH,444458,,,,
"NextEra Energy Services, LLC",7279,OH,437348,,,,
Oklahoma Gas & Electric Co,14063,OK,710123,,,,
Public Service Co of Oklahoma,15474,OK,501093,,,,
Portland General Electric Co,15248,OR,828857,,,,
PacifiCorp,14354,OR,547235,,,,
FirstEnergy Pennsylvania Electric Co,66101,PA,1802612,,,,
PECO Energy Co,14940,PA,1535818,,,,
PPL Electric Utilities Corp,14715,PA,1295883,,,,
Duquesne Light Co,5487,PA,550405,,,,
The Narragansett Electric Co,13214,RI,451381,,,,
"NextEra Energy Services, LLC",7279,RI,85764,,,,
"Dominion Energy South Carolina, Inc",17539,SC,696385,,,,
"Duke Energy Carolinas, LLC",5416,SC,568586,,,,
Northern States Power Co - Minnesota,13781,SD,92204,,,,
"Black Hills Power, Inc.",19545,SD,60951,,,,
Nashville Electric Service,13216,TN,417640,,,,
City of Memphis - (TN),12293,TN,380286,,,,
Reliant Energy Retail Services,15847,TX,1548250,,,,
"TXU Energy Retail Co, LLC",19327,TX,1446391,,,,
City of San Antonio - (TX),16604,TX,865914,,,,
Austin Energy,1015,TX,507291,,,,
Entergy Texas Inc.,55937,TX,457369,,,,
"US Retailers, LLC",57132,TX,412301,,,,
Just Energy,9949,TX,407723,,,,
"Pedernales Electric Coop, Inc",14626,TX,405587,,,,
"Ambit Energy Holdings, LLC",56212,TX,360476,,,,
PacifiCorp,14354,UT,947246,,,,
Provo City Corp,15444,UT,35299,,,,
Virginia Electric & Power Co,19876,VA,2383548,,,,
Appalachian Power Co,733,VA,465283,,,,
Green Mountain Power Corp,7601,VT,226675,,,,
"Vermont Electric Cooperative, Inc",19791,VT,35964,,,,
Puget Sound Energy Inc,15500,WA,1091599,,,,
City of Seattle - (WA),16868,WA,459964,,,,
Wisconsin Electric Power Co,20847,WI,1048148,,,,
Wisconsin Power & Light Co,20856,WI,437211,,,,
Wisconsin Public Service Corp,20860,WI,411775,,,,
Appalachian Power Co,733,WV,348946,,,,
Monongahela Power Co,12796,WV,334588,,,,
PacifiCorp,14354,WY,118130,,,,
Cheyenne Light Fuel & Power,3461,WY,39954,,,,